alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
0.2,2,0,1000,constant,0.6969333333333333,0.6811275128880724,0.7127391537785942,separated,60,0.95,mixture/0.2/2/5/0
0.2,2,1,1000,constant,0.4500666666666667,0.43494408100118975,0.4651892523321437,separated,60,0.95,mixture/0.2/2/5/1
0.2,2,2,1000,constant,1.6354333333333333,1.6183387604722617,1.6525279061944051,separated,60,0.95,mixture/0.2/2/5/2
0.2,2,3,1000,constant,0.7406333333333334,0.7312349362360584,0.7500317304306083,separated,60,0.95,mixture/0.2/2/5/3
0.2,2,4,1000,constant,1.3187000000000002,1.2798960273588254,1.357503972641175,separated,60,0.95,mixture/0.2/2/5/4
0.2,2,5,1000,constant,0.4197666666666665,0.40899419507183854,0.4305391382614945,separated,60,0.95,mixture/0.2/2/5/5
0.2,2,6,1000,constant,0.36809999999999987,0.3498949243721561,0.38630507562784355,separated,60,0.95,mixture/0.2/2/5/6
0.2,2,7,1000,constant,0.31633333333333324,0.3077066493082249,0.3249600173584416,separated,60,0.95,mixture/0.2/2/5/7
0.2,2,8,1000,constant,1.395033333333333,1.365412280239827,1.424654386426839,separated,60,0.95,mixture/0.2/2/5/8
0.2,2,9,1000,constant,0.5779666666666661,0.5622087152613748,0.5937246180719573,separated,60,0.95,mixture/0.2/2/5/9
0.2,2,10,1000,constant,0.3032333333333337,0.2951376854008424,0.311328981265825,separated,60,0.95,mixture/0.2/2/5/10
0.2,2,11,1000,constant,0.22353333333333336,0.20651659224140118,0.24055007442526555,separated,60,0.95,mixture/0.2/2/5/11
0.2,2,12,1000,constant,1.6415,1.5683284596364049,1.7146715403635953,separated,60,0.95,mixture/0.2/2/5/12
0.2,2,13,1000,constant,0.3948666666666669,0.38158683389515524,0.4081464994381786,separated,60,0.95,mixture/0.2/2/5/13
0.2,2,14,1000,constant,0.2683333333333333,0.2576330370150127,0.2790336296516539,separated,60,0.95,mixture/0.2/2/5/14
0.2,2,15,1000,constant,0.3612333333333334,0.35406327691907136,0.36840338974759546,separated,60,0.95,mixture/0.2/2/5/15
0.2,2,16,1000,constant,0.6472666666666669,0.6338184107026843,0.6607149226306493,separated,60,0.95,mixture/0.2/2/5/16
0.2,2,17,1000,constant,0.3855333333333334,0.3707811541255034,0.4002855125411634,separated,60,0.95,mixture/0.2/2/5/17
0.2,2,18,1000,constant,0.19563333333333333,0.17365043579184836,0.2176162308748183,separated,60,0.95,mixture/0.2/2/5/18
0.2,2,19,1000,constant,0.25916666666666655,0.25072948258417094,0.26760385074916215,separated,60,0.95,mixture/0.2/2/5/19
0.2,2,20,1000,constant,0.2890666666666669,0.27685794512672157,0.30127538820661226,separated,60,0.95,mixture/0.2/2/5/20
0.2,2,21,1000,constant,0.2885333333333333,0.2786126764239576,0.298453990242709,separated,60,0.95,mixture/0.2/2/5/21
0.2,2,22,1000,constant,0.7672999999999996,0.7525132550354074,0.7820867449645919,separated,60,0.95,mixture/0.2/2/5/22
0.2,2,23,1000,constant,0.30389999999999995,0.2922099573999585,0.3155900426000414,separated,60,0.95,mixture/0.2/2/5/23
0.2,2,24,1000,constant,0.48749999999999993,0.46364963211970855,0.5113503678802913,separated,60,0.95,mixture/0.2/2/5/24
0.2,2,25,1000,constant,0.4991,0.4881531941437468,0.5100468058562532,separated,60,0.95,mixture/0.2/2/5/25
0.2,2,26,1000,constant,0.7021666666666666,0.6914366905311878,0.7128966428021454,separated,60,0.95,mixture/0.2/2/5/26
0.2,2,27,1000,constant,0.3920999999999999,0.38289548075546165,0.40130451924453814,separated,60,0.95,mixture/0.2/2/5/27
0.2,2,28,1000,constant,0.31789999999999974,0.3083006288417097,0.32749937115828975,separated,60,0.95,mixture/0.2/2/5/28
0.2,2,29,1000,constant,0.4238333333333334,0.41370550182098326,0.43396116484568353,separated,60,0.95,mixture/0.2/2/5/29
0.2,3,0,1000,constant,0.18389999999999984,0.1735888950131571,0.19421110498684258,separated,60,0.95,mixture/0.2/3/5/0
0.2,3,1,1000,constant,0.29326666666666656,0.2784464847475251,0.30808684858580804,separated,60,0.95,mixture/0.2/3/5/1
0.2,3,2,1000,constant,0.2784333333333332,0.2611350675892058,0.2957315990774606,separated,60,0.95,mixture/0.2/3/5/2
0.2,3,3,1000,constant,0.42680000000000007,0.41083625140211755,0.441452798794741,separated,60,0.95,mixture/0.2/3/5/3
0.2,3,4,1000,constant,0.4660999999999999,0.4555375187425072,0.4766624812574926,separated,60,0.95,mixture/0.2/3/5/4
0.2,3,5,1000,constant,0.17493333333333327,0.13768791878584719,0.21217874788081936,separated,60,0.95,mixture/0.2/3/5/5
0.2,3,6,1000,constant,0.14706666666666657,0.12702405591101984,0.1671092774223133,separated,60,0.95,mixture/0.2/3/5/6
0.2,3,7,1000,constant,0.6644999999999996,0.6379974015057058,0.6910025984942936,separated,60,0.95,mixture/0.2/3/5/7
0.2,3,8,1000,constant,-0.008033333333333226,-0.04479648898812538,0.02872982232145893,uncertain,60,0.95,mixture/0.2/3/5/8
0.2,3,9,1000,constant,0.24806666666666655,0.23425740757790525,0.26187592575542784,separated,60,0.95,mixture/0.2/3/5/9
0.2,3,10,1000,constant,0.0522999999999999,-0.01466743521314573,0.07057743417923423,uncertain,60,0.95,mixture/0.2/3/5/10
0.2,3,11,1000,constant,0.6030999999999996,0.5883671811011959,0.6178328188988034,separated,60,0.95,mixture/0.2/3/5/11
0.2,3,12,1000,constant,0.7063999999999997,0.6867983966163856,0.7260016033836139,separated,60,0.95,mixture/0.2/3/5/12
0.2,3,13,1000,constant,1.0522666666666667,1.0070071552487332,1.0975261780846004,separated,60,0.95,mixture/0.2/3/5/13
0.2,3,14,1000,constant,0.615,0.6041944611304118,0.6258055388695885,separated,60,0.95,mixture/0.2/3/5/14
0.2,3,15,1000,constant,0.5439333333333336,0.5227338891142281,0.5651327775524391,separated,60,0.95,mixture/0.2/3/5/15
0.2,3,16,1000,constant,0.4015333333333333,0.3788518525114897,0.4242148141551769,separated,60,0.95,mixture/0.2/3/5/16
0.2,3,17,1000,constant,0.2226666666666668,0.20652810539115607,0.23585718375220022,separated,60,0.95,mixture/0.2/3/5/17
0.2,3,18,1000,constant,0.37176666666666647,0.3580757239868919,0.385457609346441,separated,60,0.95,mixture/0.2/3/5/18
0.2,3,19,1000,constant,0.6734000000000002,0.6628614739111831,0.6839385260888173,separated,60,0.95,mixture/0.2/3/5/19
0.2,3,20,1000,constant,0.8854333333333333,0.8665638188351659,0.9043028478315007,separated,60,0.95,mixture/0.2/3/5/20
0.2,3,21,1000,constant,0.6041333333333332,0.5864309133634548,0.6218357533032116,separated,60,0.95,mixture/0.2/3/5/21
0.2,3,22,1000,constant,0.2426666666666668,0.2285099732894591,0.2568233600438745,separated,60,0.95,mixture/0.2/3/5/22
0.2,3,23,1000,constant,0.5166,0.47886871486021043,0.5543312851397895,separated,60,0.95,mixture/0.2/3/5/23
