alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.1,2,0,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/2/5/0
0.1,2,0,0,100,20,5,constant,geomean,0.17435595774162696,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,100,20,5,constant,safeguard,0.17435595774162696,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/0
0.1,2,0,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/0
0.1,2,1,0,100,20,5,constant,stated,0.8320621088842551,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,100,20,5,constant,geomean,0.34176014981270125,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,100,20,5,constant,safeguard,0.6074053394855062,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/1
0.1,2,1,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/1
0.1,2,2,0,100,20,5,constant,stated,0.8320621088842551,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,100,20,5,constant,geomean,0.3059411708155672,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,100,20,5,constant,safeguard,0.649008444929719,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/2
0.1,2,2,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/2
0.1,2,3,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/2/5/3
0.1,2,3,0,100,20,5,constant,geomean,0.41569219381653055,3,0,0,mixture/0.1/2/5/3
0.1,2,3,0,100,20,5,constant,safeguard,0.41569219381653055,3,0,0,mixture/0.1/2/5/3
0.1,2,3,0,100,20,5,constant,asw-pam,,2,1,0,mixture/0.1/2/5/3
0.1,2,3,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/3
0.1,2,4,0,100,20,5,constant,stated,0.8320621088842551,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,100,20,5,constant,geomean,0.25455844122715715,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,100,20,5,constant,safeguard,0.6739703081962467,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/4
0.1,2,4,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/4
0.1,2,5,0,100,20,5,constant,stated,0.8320621088842551,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,100,20,5,constant,geomean,0.30983866769659346,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,100,20,5,constant,safeguard,0.665649687107404,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/5
0.1,2,5,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/5
0.1,2,6,0,100,20,5,constant,stated,0.8320621088842551,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,100,20,5,constant,geomean,0.23664319132398473,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,100,20,5,constant,safeguard,0.5824434762189785,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/6
0.1,2,6,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/6
0.1,2,7,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/2/5/7
0.1,2,7,0,100,20,5,constant,geomean,0.22449944320643636,6,0,0,mixture/0.1/2/5/7
0.1,2,7,0,100,20,5,constant,safeguard,0.22449944320643636,6,0,0,mixture/0.1/2/5/7
0.1,2,7,0,100,20,5,constant,asw-pam,,2,1,0,mixture/0.1/2/5/7
0.1,2,7,0,100,20,5,constant,asw-average,,2,1,0,mixture/0.1/2/5/7
0.1,2,8,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/2/5/8
0.1,2,8,0,100,20,5,constant,geomean,0.19999999999999996,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,100,20,5,constant,safeguard,0.19999999999999996,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/8
0.1,2,8,0,100,20,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/8
0.1,2,9,0,100,20,5,constant,stated,0.8320621088842551,2,1,1,mixture/0.1/2/5/9
0.1,2,9,0,100,20,5,constant,geomean,0.32557641192199427,6,0,0,mixture/0.1/2/5/9
0.1,2,9,0,100,20,5,constant,safeguard,0.44099291770865523,4,0,0,mixture/0.1/2/5/9
0.1,2,9,0,100,20,5,constant,asw-pam,,4,0,0,mixture/0.1/2/5/9
0.1,2,9,0,100,20,5,constant,asw-average,,5,0,0,mixture/0.1/2/5/9
0.1,3,0,0,100,20,5,constant,stated,0.8320621088842551,2,0,0,mixture/0.1/3/5/0
0.1,3,0,0,100,20,5,constant,geomean,0.2884441020371193,3,1,1,mixture/0.1/3/5/0
0.1,3,0,0,100,20,5,constant,safeguard,0.4326722966198127,3,1,1,mixture/0.1/3/5/0
0.1,3,0,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/0
0.1,3,0,0,100,20,5,constant,asw-average,,2,0,0,mixture/0.1/3/5/0
0.1,3,1,0,100,20,5,constant,stated,0.8320621088842551,3,1,1,mixture/0.1/3/5/1
0.1,3,1,0,100,20,5,constant,geomean,0.29393876913398137,3,1,1,mixture/0.1/3/5/1
0.1,3,1,0,100,20,5,constant,safeguard,0.5990847183966637,3,1,1,mixture/0.1/3/5/1
0.1,3,1,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/1
0.1,3,1,0,100,20,5,constant,asw-average,,3,1,1,mixture/0.1/3/5/1
0.1,3,2,0,100,20,5,constant,stated,0.8320621088842551,3,1,1,mixture/0.1/3/5/2
0.1,3,2,0,100,20,5,constant,geomean,0.4833218389437829,3,1,1,mixture/0.1/3/5/2
0.1,3,2,0,100,20,5,constant,safeguard,0.6074053394855062,3,1,1,mixture/0.1/3/5/2
0.1,3,2,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/2
0.1,3,2,0,100,20,5,constant,asw-average,,3,1,1,mixture/0.1/3/5/2
0.1,3,3,0,100,20,5,constant,stated,0.8320621088842551,3,1,0,mixture/0.1/3/5/3
0.1,3,3,0,100,20,5,constant,geomean,0.24248711305964246,5,0,0,mixture/0.1/3/5/3
0.1,3,3,0,100,20,5,constant,safeguard,0.407710433353285,5,0,0,mixture/0.1/3/5/3
0.1,3,3,0,100,20,5,constant,asw-pam,,3,1,0,mixture/0.1/3/5/3
0.1,3,3,0,100,20,5,constant,asw-average,,3,1,0,mixture/0.1/3/5/3
0.1,3,4,0,100,20,5,constant,stated,0.8320621088842551,3,1,1,mixture/0.1/3/5/4
0.1,3,4,0,100,20,5,constant,geomean,0.4698936049788292,3,1,1,mixture/0.1/3/5/4
0.1,3,4,0,100,20,5,constant,safeguard,0.7654971401735147,3,1,1,mixture/0.1/3/5/4
0.1,3,4,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/4
0.1,3,4,0,100,20,5,constant,asw-average,,3,1,1,mixture/0.1/3/5/4
0.1,3,5,0,100,20,5,constant,stated,0.8320621088842551,2,0,0,mixture/0.1/3/5/5
0.1,3,5,0,100,20,5,constant,geomean,0.303315017762062,6,0,0,mixture/0.1/3/5/5
0.1,3,5,0,100,20,5,constant,safeguard,0.38274857008675733,5,0,0,mixture/0.1/3/5/5
0.1,3,5,0,100,20,5,constant,asw-pam,,5,0,0,mixture/0.1/3/5/5
0.1,3,5,0,100,20,5,constant,asw-average,,5,0,0,mixture/0.1/3/5/5
0.1,3,6,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/3/5/6
0.1,3,6,0,100,20,5,constant,geomean,0.19595917942265434,3,1,1,mixture/0.1/3/5/6
0.1,3,6,0,100,20,5,constant,safeguard,0.2662598748429617,3,1,1,mixture/0.1/3/5/6
0.1,3,6,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/6
0.1,3,6,0,100,20,5,constant,asw-average,,3,1,1,mixture/0.1/3/5/6
0.1,3,7,0,100,20,5,constant,stated,0.8320621088842551,2,0,0,mixture/0.1/3/5/7
0.1,3,7,0,100,20,5,constant,geomean,0.3000000000000001,3,1,1,mixture/0.1/3/5/7
0.1,3,7,0,100,20,5,constant,safeguard,0.37442794899791476,3,1,1,mixture/0.1/3/5/7
0.1,3,7,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/7
0.1,3,7,0,100,20,5,constant,asw-average,,3,1,1,mixture/0.1/3/5/7
0.1,3,8,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/3/5/8
0.1,3,8,0,100,20,5,constant,geomean,0.2683281572999748,3,1,1,mixture/0.1/3/5/8
0.1,3,8,0,100,20,5,constant,safeguard,0.2683281572999748,3,1,1,mixture/0.1/3/5/8
0.1,3,8,0,100,20,5,constant,asw-pam,,3,1,1,mixture/0.1/3/5/8
0.1,3,8,0,100,20,5,constant,asw-average,,3,1,1,mixture/0.1/3/5/8
0.1,3,9,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.1/3/5/9
0.1,3,9,0,100,20,5,constant,geomean,0.18761663039293722,3,1,1,mixture/0.1/3/5/9
0.1,3,9,0,100,20,5,constant,safeguard,0.18761663039293722,3,1,1,mixture/0.1/3/5/9
0.1,3,9,0,100,20,5,constant,asw-pam,,2,0,0,mixture/0.1/3/5/9
0.1,3,9,0,100,20,5,constant,asw-average,,2,0,0,mixture/0.1/3/5/9
0.2,2,0,0,100,20,5,constant,stated,0.8320621088842551,1,0,0,mixture/0.2/2/5/0
0.2,2,0,0,100,20,5,constant,geomean,0.36932370625238775,3,0,0,mixture/0.2/2/5/0
0.2,2,0,0,100,20,5,constant,safeguard,0.36932370625238775,3,0,0,mixture/0.2/2/5/0
0.2,2,0,0,100,20,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/0
