alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,2,5,6,100,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/6
0.1,2,5,6,100,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/6
0.1,2,5,6,100,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/6
0.1,2,5,7,40,20,constant,single,0,0,0.7995558023320377,3,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,40,20,constant,complete,0,0,0.7995558023320377,3,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,40,20,constant,average,0,0,0.7995558023320377,3,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,40,20,constant,pam,0,0,0.7995558023320377,3,0,0,1,0,mixture/0.1/2/5/7
0.1,2,5,7,100,20,constant,single,0,0,0.0,6,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,100,20,constant,complete,0,0,0.6208425720620843,6,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,100,20,constant,average,0,0,0.4643449419568823,6,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,100,20,constant,pam,0,0,0.6208425720620843,6,0,0,1,0,mixture/0.1/2/5/7
0.1,2,5,8,40,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,40,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,40,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,40,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/8
0.1,2,5,8,100,20,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,100,20,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,100,20,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,100,20,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/8
0.1,2,5,9,40,20,constant,single,0,1,1.0,4,0,0,,,mixture/0.1/2/5/9
0.1,2,5,9,40,20,constant,complete,0,0,0.3286219081272085,4,0,0,,,mixture/0.1/2/5/9
0.1,2,5,9,40,20,constant,average,0,1,1.0,4,0,0,,,mixture/0.1/2/5/9
0.1,2,5,9,40,20,constant,pam,0,0,0.4643449419568823,4,0,0,1,0,mixture/0.1/2/5/9
0.1,2,5,9,100,20,constant,single,0,1,1.0,4,0,0,,,mixture/0.1/2/5/9
0.1,2,5,9,100,20,constant,complete,0,0,0.6215139442231076,4,0,0,,,mixture/0.1/2/5/9
0.1,2,5,9,100,20,constant,average,0,1,1.0,4,0,0,,,mixture/0.1/2/5/9
0.1,2,5,9,100,20,constant,pam,0,1,1.0,4,0,0,1,0,mixture/0.1/2/5/9
0.1,3,5,0,40,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,40,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,40,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,40,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/0
0.1,3,5,0,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/0
0.1,3,5,0,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/0
0.1,3,5,1,40,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,40,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,40,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,40,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/1
0.1,3,5,1,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/1
0.1,3,5,1,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/1
0.1,3,5,2,40,20,constant,single,0,1,1.0,4,0,0,,,mixture/0.1/3/5/2
0.1,3,5,2,40,20,constant,complete,0,0,0.8240088921822898,4,0,0,,,mixture/0.1/3/5/2
0.1,3,5,2,40,20,constant,average,0,1,1.0,4,0,0,,,mixture/0.1/3/5/2
0.1,3,5,2,40,20,constant,pam,0,0,0.8240088921822898,4,0,0,1,0,mixture/0.1/3/5/2
0.1,3,5,2,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/2
0.1,3,5,2,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/2
0.1,3,5,3,40,20,constant,single,0,0,0.6891126494650724,5,0,0,,,mixture/0.1/3/5/3
0.1,3,5,3,40,20,constant,complete,0,0,0.6891126494650724,5,0,0,,,mixture/0.1/3/5/3
0.1,3,5,3,40,20,constant,average,0,0,0.6891126494650724,5,0,0,,,mixture/0.1/3/5/3
0.1,3,5,3,40,20,constant,pam,0,0,0.6891126494650724,5,0,0,1,0,mixture/0.1/3/5/3
0.1,3,5,3,100,20,constant,single,0,0,0.8338538413491567,5,0,0,,,mixture/0.1/3/5/3
0.1,3,5,3,100,20,constant,complete,0,0,0.8338538413491567,5,0,0,,,mixture/0.1/3/5/3
0.1,3,5,3,100,20,constant,average,0,0,0.8338538413491567,5,0,0,,,mixture/0.1/3/5/3
0.1,3,5,3,100,20,constant,pam,0,0,0.8338538413491567,5,0,0,1,0,mixture/0.1/3/5/3
0.1,3,5,4,40,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,40,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,40,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,40,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/4
0.1,3,5,4,100,20,constant,single,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,100,20,constant,complete,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,100,20,constant,average,0,1,1.0,3,1,1,,,mixture/0.1/3/5/4
0.1,3,5,4,100,20,constant,pam,0,1,1.0,3,1,1,1,0,mixture/0.1/3/5/4
0.1,3,5,5,40,20,constant,single,0,0,0.732360097323601,6,0,0,,,mixture/0.1/3/5/5
