alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
1.0,2,28,0,1000,800,3125,constant-mc,threshold,0.23400000000000043,2,1,1,hmm-mixture/2/4/5/28
1.0,2,28,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/28
1.0,2,29,0,1000,800,3125,constant-mc,threshold,0.23586436780488854,2,1,1,hmm-mixture/2/4/5/29
1.0,2,29,0,1000,800,3125,constant-mc,asw-pam,,2,1,1,hmm-mixture/2/4/5/29
1.0,3,0,0,1000,800,3125,constant-mc,threshold,0.19258244987537118,3,1,1,hmm-mixture/3/4/5/0
1.0,3,0,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/0
1.0,3,1,0,1000,800,3125,constant-mc,threshold,0.20849940047875387,3,1,1,hmm-mixture/3/4/5/1
1.0,3,1,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/1
1.0,3,2,0,1000,800,3125,constant-mc,threshold,0.25351923003985233,3,1,1,hmm-mixture/3/4/5/2
1.0,3,2,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/2
1.0,3,3,0,1000,800,3125,constant-mc,threshold,0.2212329089443981,3,1,1,hmm-mixture/3/4/5/3
1.0,3,3,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/3
1.0,3,4,0,1000,800,3125,constant-mc,threshold,0.21496046148070985,3,1,1,hmm-mixture/3/4/5/4
1.0,3,4,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/4
1.0,3,5,0,1000,800,3125,constant-mc,threshold,0.239699812265259,3,1,1,hmm-mixture/3/4/5/5
1.0,3,5,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/5
1.0,3,6,0,1000,800,3125,constant-mc,threshold,0.17780888616714363,3,1,1,hmm-mixture/3/4/5/6
1.0,3,6,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/6
1.0,3,7,0,1000,800,3125,constant-mc,threshold,0.23489572154468827,3,1,1,hmm-mixture/3/4/5/7
1.0,3,7,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/7
1.0,3,8,0,1000,800,3125,constant-mc,threshold,0.21496046148071002,3,1,1,hmm-mixture/3/4/5/8
1.0,3,8,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/8
1.0,3,9,0,1000,800,3125,constant-mc,threshold,0.2865080099871713,3,1,1,hmm-mixture/3/4/5/9
1.0,3,9,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/9
1.0,3,10,0,1000,800,3125,constant-mc,threshold,0.2040784163011861,3,1,1,hmm-mixture/3/4/5/10
1.0,3,10,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/10
1.0,3,11,0,1000,800,3125,constant-mc,threshold,0.21122499852053536,3,1,1,hmm-mixture/3/4/5/11
1.0,3,11,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/11
1.0,3,12,0,1000,800,3125,constant-mc,threshold,0.21460661685977975,3,1,1,hmm-mixture/3/4/5/12
1.0,3,12,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/12
1.0,3,13,0,1000,800,3125,constant-mc,threshold,0.197261248095008,3,1,1,hmm-mixture/3/4/5/13
1.0,3,13,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/13
1.0,3,14,0,1000,800,3125,constant-mc,threshold,0.23366642891095757,3,1,1,hmm-mixture/3/4/5/14
1.0,3,14,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/14
1.0,3,15,0,1000,800,3125,constant-mc,threshold,0.25298221281347044,3,1,1,hmm-mixture/3/4/5/15
1.0,3,15,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/15
1.0,3,16,0,1000,800,3125,constant-mc,threshold,0.25595312070767895,3,1,1,hmm-mixture/3/4/5/16
1.0,3,16,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/16
1.0,3,17,0,1000,800,3125,constant-mc,threshold,0.2550607770708771,3,1,1,hmm-mixture/3/4/5/17
1.0,3,17,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/17
1.0,3,18,0,1000,800,3125,constant-mc,threshold,0.23528705871764402,3,1,1,hmm-mixture/3/4/5/18
1.0,3,18,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/18
1.0,3,19,0,1000,800,3125,constant-mc,threshold,0.19268627351215165,3,1,1,hmm-mixture/3/4/5/19
1.0,3,19,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/19
1.0,3,20,0,1000,800,3125,constant-mc,threshold,0.29165486046598293,3,1,1,hmm-mixture/3/4/5/20
1.0,3,20,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/20
1.0,3,21,0,1000,800,3125,constant-mc,threshold,0.26347675419285,3,1,1,hmm-mixture/3/4/5/21
1.0,3,21,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/21
1.0,3,22,0,1000,800,3125,constant-mc,threshold,0.22689204481426758,3,1,1,hmm-mixture/3/4/5/22
1.0,3,22,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/22
1.0,3,23,0,1000,800,3125,constant-mc,threshold,0.24316249710841603,3,1,1,hmm-mixture/3/4/5/23
1.0,3,23,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/23
1.0,3,24,0,1000,800,3125,constant-mc,threshold,0.21122499852053536,3,1,1,hmm-mixture/3/4/5/24
1.0,3,24,0,1000,800,3125,constant-mc,asw-pam,,2,0,0,hmm-mixture/3/4/5/24
1.0,3,25,0,1000,800,3125,constant-mc,threshold,0.21561076039938168,3,1,1,hmm-mixture/3/4/5/25
1.0,3,25,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/25
1.0,3,26,0,1000,800,3125,constant-mc,threshold,0.23439283265492547,3,1,1,hmm-mixture/3/4/5/26
1.0,3,26,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/26
1.0,3,27,0,1000,800,3125,constant-mc,threshold,0.236651642715616,3,1,1,hmm-mixture/3/4/5/27
1.0,3,27,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/27
1.0,3,28,0,1000,800,3125,constant-mc,threshold,0.25024787711387364,3,1,1,hmm-mixture/3/4/5/28
1.0,3,28,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/28
1.0,3,29,0,1000,800,3125,constant-mc,threshold,0.2523331131659109,3,1,1,hmm-mixture/3/4/5/29
1.0,3,29,0,1000,800,3125,constant-mc,asw-pam,,3,1,1,hmm-mixture/3/4/5/29
1.0,4,0,0,1000,800,3125,constant-mc,threshold,0.19065151454945264,4,1,1,hmm-mixture/4/4/5/0
1.0,4,0,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/0
1.0,4,1,0,1000,800,3125,constant-mc,threshold,0.19944924166313627,4,1,1,hmm-mixture/4/4/5/1
1.0,4,1,0,1000,800,3125,constant-mc,asw-pam,,4,1,1,hmm-mixture/4/4/5/1
1.0,4,2,0,1000,800,3125,constant-mc,threshold,0.21391587131393391,4,1,1,hmm-mixture/4/4/5/2
