alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.2,2,0,0,1000,800,5,constant,safeguard,0.25029582497516817,2,1,1,mixture/0.2/2/5/0
0.2,2,0,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/0
0.2,2,1,0,1000,800,5,constant,safeguard,0.18024427868867288,2,1,1,mixture/0.2/2/5/1
0.2,2,1,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/1
0.2,2,2,0,1000,800,5,constant,safeguard,0.468363393571843,2,1,1,mixture/0.2/2/5/2
0.2,2,2,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/2
0.2,2,3,0,1000,800,5,constant,safeguard,0.21959895376262234,2,1,1,mixture/0.2/2/5/3
0.2,2,3,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/3
0.2,2,4,0,1000,800,5,constant,safeguard,0.3940199977667886,2,1,1,mixture/0.2/2/5/4
0.2,2,4,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/4
0.2,2,5,0,1000,800,5,constant,safeguard,0.14133647795243792,2,1,1,mixture/0.2/2/5/5
0.2,2,5,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/5
0.2,2,6,0,1000,800,5,constant,safeguard,0.13690872872099863,2,1,1,mixture/0.2/2/5/6
0.2,2,6,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/6
0.2,2,7,0,1000,800,5,constant,safeguard,0.13038687879655705,2,1,1,mixture/0.2/2/5/7
0.2,2,7,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/7
0.2,2,8,0,1000,800,5,constant,safeguard,0.43462292932185675,2,1,1,mixture/0.2/2/5/8
0.2,2,8,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/8
0.2,2,9,0,1000,800,5,constant,safeguard,0.2218864428643163,2,1,1,mixture/0.2/2/5/9
0.2,2,9,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/9
0.2,2,10,0,1000,800,5,constant,safeguard,0.11320777358467912,2,1,1,mixture/0.2/2/5/10
0.2,2,10,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/10
0.2,2,11,0,1000,800,5,constant,safeguard,0.1126942766958465,2,1,1,mixture/0.2/2/5/11
0.2,2,11,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/11
0.2,2,12,0,1000,800,5,constant,safeguard,0.4054574432752585,2,1,1,mixture/0.2/2/5/12
0.2,2,12,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/12
0.2,2,13,0,1000,800,5,constant,safeguard,0.14228141129465935,2,1,1,mixture/0.2/2/5/13
0.2,2,13,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/13
0.2,2,14,0,1000,800,5,constant,safeguard,0.11171392035015158,2,1,1,mixture/0.2/2/5/14
0.2,2,14,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/14
0.2,2,15,0,1000,800,5,constant,safeguard,0.17956789448297764,2,1,1,mixture/0.2/2/5/15
0.2,2,15,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/15
0.2,2,16,0,1000,800,5,constant,safeguard,0.18814597861433013,2,1,1,mixture/0.2/2/5/16
0.2,2,16,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/16
0.2,2,17,0,1000,800,5,constant,safeguard,0.11879393923934004,2,1,1,mixture/0.2/2/5/17
0.2,2,17,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/17
0.2,2,18,0,1000,800,5,constant,safeguard,0.1522891985664117,2,1,1,mixture/0.2/2/5/18
0.2,2,18,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/18
0.2,2,19,0,1000,800,5,constant,safeguard,0.11574109036984234,2,1,1,mixture/0.2/2/5/19
0.2,2,19,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/19
0.2,2,20,0,1000,800,5,constant,safeguard,0.11665333257134138,2,1,1,mixture/0.2/2/5/20
0.2,2,20,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/20
0.2,2,21,0,1000,800,5,constant,safeguard,0.11857487086225299,2,1,1,mixture/0.2/2/5/21
0.2,2,21,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/21
0.2,2,22,0,1000,800,5,constant,safeguard,0.22474580424143384,2,1,1,mixture/0.2/2/5/22
0.2,2,22,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/22
0.2,2,23,0,1000,800,5,constant,safeguard,0.12688577540449514,2,1,1,mixture/0.2/2/5/23
0.2,2,23,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/23
0.2,2,24,0,1000,800,5,constant,safeguard,0.21132912719263297,2,1,1,mixture/0.2/2/5/24
0.2,2,24,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/24
0.2,2,25,0,1000,800,5,constant,safeguard,0.22074269831346935,2,1,1,mixture/0.2/2/5/25
0.2,2,25,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/25
0.2,2,26,0,1000,800,5,constant,safeguard,0.1990115518473765,2,1,1,mixture/0.2/2/5/26
0.2,2,26,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/26
0.2,2,27,0,1000,800,5,constant,safeguard,0.11661903789690586,2,1,1,mixture/0.2/2/5/27
0.2,2,27,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/27
0.2,2,28,0,1000,800,5,constant,safeguard,0.10363397126425278,2,1,1,mixture/0.2/2/5/28
0.2,2,28,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/28
0.2,2,29,0,1000,800,5,constant,safeguard,0.136105601550792,2,1,1,mixture/0.2/2/5/29
0.2,2,29,0,1000,800,5,constant,asw-pam,,2,1,1,mixture/0.2/2/5/29
0.2,3,0,0,1000,800,5,constant,safeguard,0.3293984306439336,2,0,0,mixture/0.2/3/5/0
0.2,3,0,0,1000,800,5,constant,asw-pam,,2,0,0,mixture/0.2/3/5/0
0.2,3,1,0,1000,800,5,constant,safeguard,0.33797651477528595,3,1,1,mixture/0.2/3/5/1
0.2,3,1,0,1000,800,5,constant,asw-pam,,2,0,0,mixture/0.2/3/5/1
0.2,3,2,0,1000,800,5,constant,safeguard,0.18471474496178908,3,1,1,mixture/0.2/3/5/2
0.2,3,2,0,1000,800,5,constant,asw-pam,,2,0,0,mixture/0.2/3/5/2
0.2,3,3,0,1000,800,5,constant,safeguard,0.2121646141821169,3,1,1,mixture/0.2/3/5/3
0.2,3,3,0,1000,800,5,constant,asw-pam,,3,1,1,mixture/0.2/3/5/3
0.2,3,4,0,1000,800,5,constant,safeguard,0.30938290100411114,3,1,1,mixture/0.2/3/5/4
0.2,3,4,0,1000,800,5,constant,asw-pam,,3,1,1,mixture/0.2/3/5/4
0.2,3,5,0,1000,800,5,constant,safeguard,0.40031059279644704,2,0,0,mixture/0.2/3/5/5
0.2,3,5,0,1000,800,5,constant,asw-pam,,2,0,0,mixture/0.2/3/5/5
0.2,3,6,0,1000,800,5,constant,safeguard,0.15955236484315533,3,1,1,mixture/0.2/3/5/6
0.2,3,6,0,1000,800,5,constant,asw-pam,,3,1,1,mixture/0.2/3/5/6
0.2,3,7,0,1000,800,5,constant,safeguard,0.21845520921177536,3,1,1,mixture/0.2/3/5/7
0.2,3,7,0,1000,800,5,constant,asw-pam,,3,1,1,mixture/0.2/3/5/7
0.2,3,8,0,1000,800,5,constant,safeguard,0.19398969044771433,3,1,1,mixture/0.2/3/5/8
0.2,3,8,0,1000,800,5,constant,asw-pam,,2,0,0,mixture/0.2/3/5/8
