alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.1,2,12,0,1000,200,5,constant,safeguard,0.33184830493588696,7,0,0,mixture/0.1/2/5/12
0.1,2,12,0,1000,200,5,constant,asw-pam,,3,0,0,mixture/0.1/2/5/12
0.1,2,12,0,1000,200,5,constant,asw-average,,3,0,0,mixture/0.1/2/5/12
0.1,2,13,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/13
0.1,2,13,0,1000,200,5,constant,geomean,0.2526103719169109,2,1,1,mixture/0.1/2/5/13
0.1,2,13,0,1000,200,5,constant,safeguard,0.2526103719169109,2,1,1,mixture/0.1/2/5/13
0.1,2,13,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/13
0.1,2,13,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/13
0.1,2,14,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/14
0.1,2,14,0,1000,200,5,constant,geomean,0.10783320453366861,2,1,1,mixture/0.1/2/5/14
0.1,2,14,0,1000,200,5,constant,safeguard,0.1742878089338073,2,1,1,mixture/0.1/2/5/14
0.1,2,14,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/14
0.1,2,14,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/14
0.1,2,15,0,1000,200,5,constant,stated,0.5395907397331495,1,0,0,mixture/0.1/2/5/15
0.1,2,15,0,1000,200,5,constant,geomean,0.12465953633797931,2,1,1,mixture/0.1/2/5/15
0.1,2,15,0,1000,200,5,constant,safeguard,0.13975400159088572,2,1,1,mixture/0.1/2/5/15
0.1,2,15,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/15
0.1,2,15,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/15
0.1,2,16,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/16
0.1,2,16,0,1000,200,5,constant,geomean,0.18644033898274276,2,1,1,mixture/0.1/2/5/16
0.1,2,16,0,1000,200,5,constant,safeguard,0.21313834219459404,2,1,1,mixture/0.1/2/5/16
0.1,2,16,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/16
0.1,2,16,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/16
0.1,2,17,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.1/2/5/17
0.1,2,17,0,1000,200,5,constant,geomean,0.15794935897305826,2,1,1,mixture/0.1/2/5/17
0.1,2,17,0,1000,200,5,constant,safeguard,0.1602584497007454,2,1,1,mixture/0.1/2/5/17
0.1,2,17,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.1/2/5/17
0.1,2,17,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.1/2/5/17
