alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,ari,mixture_key
1,4,5,0,2,400,800,constant,single,0.7361574678572799,mixture/1/4/5/0
1,4,5,0,2,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,2,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,2,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,2,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,2,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,2,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,2,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,2,500,800,constant,pam,0.9968224442595723,mixture/1/4/5/0
1,4,5,0,3,50,800,constant,single,0.00025961173076946787,mixture/1/4/5/0
1,4,5,0,3,50,800,constant,average,0.6108484934429766,mixture/1/4/5/0
1,4,5,0,3,50,800,constant,pam,0.779689349232213,mixture/1/4/5/0
1,4,5,0,3,100,800,constant,single,-7.571549129382668e-05,mixture/1/4/5/0
1,4,5,0,3,100,800,constant,average,0.9933382852269271,mixture/1/4/5/0
1,4,5,0,3,100,800,constant,pam,0.7872960378218214,mixture/1/4/5/0
1,4,5,0,3,150,800,constant,single,0.3035769104031005,mixture/1/4/5/0
1,4,5,0,3,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,150,800,constant,pam,0.9324575118182635,mixture/1/4/5/0
1,4,5,0,3,200,800,constant,single,0.3035769104031005,mixture/1/4/5/0
1,4,5,0,3,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,200,800,constant,pam,0.9827875467026261,mixture/1/4/5/0
1,4,5,0,3,250,800,constant,single,0.3049025137957035,mixture/1/4/5/0
1,4,5,0,3,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,250,800,constant,pam,0.9931043103830719,mixture/1/4/5/0
1,4,5,0,3,300,800,constant,single,0.3061804002305003,mixture/1/4/5/0
1,4,5,0,3,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,300,800,constant,pam,0.9930874982803112,mixture/1/4/5/0
1,4,5,0,3,350,800,constant,single,0.6926257707846787,mixture/1/4/5/0
1,4,5,0,3,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,350,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,3,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,3,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,3,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,3,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,3,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,3,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,3,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,4,50,800,constant,single,-7.433099653426087e-05,mixture/1/4/5/0
1,4,5,0,4,50,800,constant,average,0.6378541331907902,mixture/1/4/5/0
1,4,5,0,4,50,800,constant,pam,0.7547317864071652,mixture/1/4/5/0
1,4,5,0,4,100,800,constant,single,-0.0001246068310383409,mixture/1/4/5/0
1,4,5,0,4,100,800,constant,average,0.7173244971564581,mixture/1/4/5/0
1,4,5,0,4,100,800,constant,pam,0.8794171891865638,mixture/1/4/5/0
1,4,5,0,4,150,800,constant,single,0.33587246629564743,mixture/1/4/5/0
1,4,5,0,4,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,150,800,constant,pam,0.9480331306291067,mixture/1/4/5/0
1,4,5,0,4,200,800,constant,single,0.33587246629564743,mixture/1/4/5/0
1,4,5,0,4,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,200,800,constant,pam,0.9870276118111858,mixture/1/4/5/0
1,4,5,0,4,250,800,constant,single,0.7222851860487495,mixture/1/4/5/0
1,4,5,0,4,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,250,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,4,300,800,constant,single,0.7223180206440625,mixture/1/4/5/0
1,4,5,0,4,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,300,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,4,350,800,constant,single,0.7223180206440625,mixture/1/4/5/0
1,4,5,0,4,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,350,800,constant,pam,0.9934642572155394,mixture/1/4/5/0
1,4,5,0,4,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,4,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,4,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,4,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,4,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,4,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,4,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,5,50,800,constant,single,0.00011741406110290897,mixture/1/4/5/0
1,4,5,0,5,50,800,constant,average,0.6446922314497014,mixture/1/4/5/0
1,4,5,0,5,50,800,constant,pam,0.7174507892160534,mixture/1/4/5/0
1,4,5,0,5,100,800,constant,single,0.0001593308291895568,mixture/1/4/5/0
1,4,5,0,5,100,800,constant,average,0.6835142266080362,mixture/1/4/5/0
1,4,5,0,5,100,800,constant,pam,0.9090532726648219,mixture/1/4/5/0
1,4,5,0,5,150,800,constant,single,0.3081878882583409,mixture/1/4/5/0
1,4,5,0,5,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,150,800,constant,pam,0.9758764742447902,mixture/1/4/5/0
1,4,5,0,5,200,800,constant,single,0.3096119316544553,mixture/1/4/5/0
1,4,5,0,5,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,200,800,constant,pam,0.9897085760003761,mixture/1/4/5/0
1,4,5,0,5,250,800,constant,single,0.3110541061454512,mixture/1/4/5/0
1,4,5,0,5,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,250,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,5,300,800,constant,single,0.6875851030686797,mixture/1/4/5/0
1,4,5,0,5,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,300,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,5,350,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,5,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,350,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,5,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,5,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,400,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,5,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,5,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,5,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,5,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,5,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,6,50,800,constant,single,-0.00043835493641833107,mixture/1/4/5/0
1,4,5,0,6,50,800,constant,average,0.6250855427466303,mixture/1/4/5/0
1,4,5,0,6,50,800,constant,pam,0.6355585279889887,mixture/1/4/5/0
1,4,5,0,6,100,800,constant,single,-0.00043835493641833107,mixture/1/4/5/0
1,4,5,0,6,100,800,constant,average,0.9901455642961574,mixture/1/4/5/0
1,4,5,0,6,100,800,constant,pam,0.875401403497852,mixture/1/4/5/0
1,4,5,0,6,150,800,constant,single,-0.00011965986113794867,mixture/1/4/5/0
1,4,5,0,6,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,150,800,constant,pam,0.964890616311858,mixture/1/4/5/0
1,4,5,0,6,200,800,constant,single,0.3367587180696367,mixture/1/4/5/0
1,4,5,0,6,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,200,800,constant,pam,0.9839548775723241,mixture/1/4/5/0
1,4,5,0,6,250,800,constant,single,0.33806247931832256,mixture/1/4/5/0
1,4,5,0,6,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,250,800,constant,pam,0.9869995503958005,mixture/1/4/5/0
1,4,5,0,6,300,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,6,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,300,800,constant,pam,0.9937266939322899,mixture/1/4/5/0
1,4,5,0,6,350,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,6,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,350,800,constant,pam,0.996646199041846,mixture/1/4/5/0
1,4,5,0,6,400,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,6,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,400,800,constant,pam,0.996646199041846,mixture/1/4/5/0
1,4,5,0,6,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,6,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,450,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,6,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,6,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,6,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,7,50,800,constant,single,7.236763626083233e-06,mixture/1/4/5/0
1,4,5,0,7,50,800,constant,average,0.6432659846154813,mixture/1/4/5/0
1,4,5,0,7,50,800,constant,pam,0.7055274694450279,mixture/1/4/5/0
1,4,5,0,7,100,800,constant,single,0.00027548303580215435,mixture/1/4/5/0
1,4,5,0,7,100,800,constant,average,0.9965517662210124,mixture/1/4/5/0
1,4,5,0,7,100,800,constant,pam,0.8485698700206527,mixture/1/4/5/0
1,4,5,0,7,150,800,constant,single,0.3065785062288939,mixture/1/4/5/0
1,4,5,0,7,150,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,150,800,constant,pam,0.9727138539600955,mixture/1/4/5/0
1,4,5,0,7,200,800,constant,single,0.307929232205542,mixture/1/4/5/0
1,4,5,0,7,200,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,200,800,constant,pam,0.9897067705811968,mixture/1/4/5/0
1,4,5,0,7,250,800,constant,single,0.307929232205542,mixture/1/4/5/0
1,4,5,0,7,250,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,250,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,7,300,800,constant,single,0.6952856236432253,mixture/1/4/5/0
1,4,5,0,7,300,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,300,800,constant,pam,0.9965517662210124,mixture/1/4/5/0
1,4,5,0,7,350,800,constant,single,0.6952856236432253,mixture/1/4/5/0
1,4,5,0,7,350,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,350,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,7,400,800,constant,single,0.6952856236432253,mixture/1/4/5/0
1,4,5,0,7,400,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,400,800,constant,pam,0.9965517662210124,mixture/1/4/5/0
1,4,5,0,7,450,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,7,450,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,450,800,constant,pam,0.9965517662210124,mixture/1/4/5/0
1,4,5,0,7,500,800,constant,single,1.0,mixture/1/4/5/0
1,4,5,0,7,500,800,constant,average,1.0,mixture/1/4/5/0
1,4,5,0,7,500,800,constant,pam,1.0,mixture/1/4/5/0
1,4,5,0,8,50,800,constant,single,0.00016797081754640642,mixture/1/4/5/0
1,4,5,0,8,50,800,constant,average,0.5445061075804845,mixture/1/4/5/0
1,4,5,0,8,50,800,constant,pam,0.6936563657330335,mixture/1/4/5/0
