alpha,K,d,mixture_id,dataset_id,n,N,cost_scheme,algorithm,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
3.0,4,3125,0,1,400,200,constant-mc,single,0,0.8468741456611045,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,400,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,400,200,constant-mc,average,0,0.984242719780218,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,400,200,constant-mc,pam,0,0.8854431473813469,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,500,200,constant-mc,single,0,0.5860255763269548,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,500,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,500,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,500,200,constant-mc,pam,0,0.9741693587499517,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,600,200,constant-mc,single,0,0.9898449850417178,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,600,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,600,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,600,200,constant-mc,pam,0,0.9842374765166751,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,700,200,constant-mc,single,0,0.8494417439557462,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,700,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,700,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,700,200,constant-mc,pam,0,0.974180840657065,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,800,200,constant-mc,single,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,800,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,800,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,800,200,constant-mc,pam,0,0.984242719780218,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,900,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,900,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,900,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,900,200,constant-mc,pam,0,0.984242719780218,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,1000,200,constant-mc,single,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,1000,200,constant-mc,complete,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,1000,200,constant-mc,average,1,1.0,3,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,1,1000,200,constant-mc,pam,0,0.9898449850417178,3,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,100,200,constant-mc,single,0,0.012651103449219095,15,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,100,200,constant-mc,complete,0,0.757348154636829,15,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,100,200,constant-mc,average,0,0.797024967198852,15,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,100,200,constant-mc,pam,0,0.4265743530987827,15,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,200,200,constant-mc,single,0,0.0025711147144929377,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,200,200,constant-mc,complete,0,0.9330757015616389,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,200,200,constant-mc,average,0,0.9584428953264603,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,200,200,constant-mc,pam,0,0.7031089284909708,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,300,200,constant-mc,single,0,0.606969297958024,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,300,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,300,200,constant-mc,average,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,300,200,constant-mc,pam,0,0.7973378671111806,2,0,0,1,0,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,400,200,constant-mc,single,0,0.606969297958024,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,400,200,constant-mc,complete,1,1.0,2,0,0,,,hmm-mixture/4/4/5/0
3.0,4,3125,0,2,400,200,constant-mc,average,0,0.9845124369267241,2,0,0,,,hmm-mixture/4/4/5/0
