alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,mixture_key
3.0,4,3125,0,500,800,constant-mc,single,1,0,0.5568951342685434,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,1,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,1,0,0.9769879162891045,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,1,0,0.5573052094429543,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,1,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,1,0,0.9451838888268065,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,2,0,0.0038303939193157516,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,2,0,0.635990939863055,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,2,0,0.2773428523366224,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,2,0,-0.0006362052015419533,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,2,0,0.8607251517294167,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,2,0,0.5753296955697108,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,2,0,0.0007885612499253773,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,2,0,0.9223792197756596,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,2,0,0.7032874074622546,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,2,0,0.002230809498343227,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,2,0,0.9730803360342408,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,2,0,0.7740594799343817,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,2,0,-0.0007848004756213681,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,2,0,0.9923485743812092,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,2,0,0.8004482585326805,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,2,0,-0.0009159139527502636,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,2,0,0.9960953825157378,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,2,0,0.9012094687565522,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,2,0,0.403445924280175,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,2,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,2,0,0.9381049455741349,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,2,0,0.403445924280175,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,2,0,0.9960953825157378,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,2,0,0.9578976878905399,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,2,0,0.4036525767702486,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,2,0,0.9960953825157378,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,2,0,0.9432503725528097,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,2,0,0.4055239298748035,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,2,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,2,0,0.9718830434294067,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,2,0,0.4055239298748035,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,2,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,2,0,0.9743311338040483,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,3,0,0.0008372475435421547,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,3,0,0.6136783724550599,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,3,0,0.3369271235977879,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,3,0,0.002411791909298424,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,3,0,0.8369733234340861,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,3,0,0.44312919356320163,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,3,0,0.0007053024849592272,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,3,0,0.9412905739997054,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,3,0,0.479226503004124,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,3,0,-0.00086044554355818,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,3,0,0.9694695927374355,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,3,0,0.7468133268106758,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,3,0,-0.00086044554355818,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,3,0,0.9799372516958413,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,3,0,0.8089900868676211,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,3,0,-0.00086044554355818,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,3,0,0.9720214057326925,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,3,0,0.910193731964014,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,3,0,0.3761719181378596,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,3,0,0.9919305949894036,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,3,0,0.9297548296303819,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,3,0,0.5648689656650995,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,3,0,0.9919305949894036,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,3,0,0.9460346609913762,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,3,0,0.37602536582992446,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,3,0,0.995957027919147,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,3,0,0.979938573071289,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,3,0,0.37818983068558215,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,3,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,3,0,0.9813768057353369,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,3,0,0.5648193586668075,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,3,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,3,0,0.98791822782395,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,4,0,0.0018480696619564885,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,average,4,0,0.45405488252443044,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,pam,4,0,0.29918045867230075,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,single,4,0,-0.0005362001452716695,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,average,4,0,0.5612244410188603,hmm-mixture/4/4/5/0
3.0,4,3125,0,100,800,constant-mc,pam,4,0,0.4240331101160263,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,single,4,0,0.0022483485347028214,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,average,4,0,0.9462010547820117,hmm-mixture/4/4/5/0
3.0,4,3125,0,150,800,constant-mc,pam,4,0,0.7196176124243095,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,single,4,0,-0.0005362001452716695,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,average,4,0,0.9819844199757064,hmm-mixture/4/4/5/0
3.0,4,3125,0,200,800,constant-mc,pam,4,0,0.8129677985629483,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,single,4,0,0.0018480696619564885,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,average,4,0,0.9833854792390218,hmm-mixture/4/4/5/0
3.0,4,3125,0,250,800,constant-mc,pam,4,0,0.8535885047945405,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,single,4,0,0.0006472330437174891,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,average,4,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,300,800,constant-mc,pam,4,0,0.9020311492502945,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,single,4,0,0.0006472330437174891,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,average,4,0,0.9975199331395128,hmm-mixture/4/4/5/0
3.0,4,3125,0,350,800,constant-mc,pam,4,0,0.9299133269730125,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,single,4,0,0.3856873010149617,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,average,4,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,400,800,constant-mc,pam,4,0,0.9616107698905592,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,single,4,0,0.3856873010149617,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,average,4,0,0.9960914905761401,hmm-mixture/4/4/5/0
3.0,4,3125,0,450,800,constant-mc,pam,4,0,0.9667188252018888,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,single,4,0,0.3862221241962288,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,average,4,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,500,800,constant-mc,pam,4,0,0.9767598323676887,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,single,4,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,average,4,1,1.0,hmm-mixture/4/4/5/0
3.0,4,3125,0,550,800,constant-mc,pam,4,0,0.983401017043821,hmm-mixture/4/4/5/0
3.0,4,3125,0,50,800,constant-mc,single,5,0,0.0021168124620773313,hmm-mixture/4/4/5/0
