alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,13,1000,constant,0,1,1.0181000000000002,0.0025291185575148,1.0118678612713006,1.0243321387287,60,0.95,mixture/0.1/2/5/13
0.1,2,13,1000,constant,1,1,0.2540333333333334,0.0017320453711171,0.2497653060377641,0.2583013606289026,60,0.95,mixture/0.1/2/5/13
0.1,2,14,400,constant,0,0,0.1024999999999999,0.0116810847147426,0.0737160032088405,0.1312839967911593,60,0.95,mixture/0.1/2/5/14
0.1,2,14,400,constant,0,1,0.8484999999999999,0.0048933541926001,0.8364420195283712,0.8605579804716287,60,0.95,mixture/0.1/2/5/14
0.1,2,14,400,constant,1,1,0.3150833333333332,0.0019725935302045,0.3102225582229524,0.3199441084437139,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,0,0,0.0611333333333333,0.0058557744288828,0.0467038007610724,0.0755628659055942,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,0,1,0.8497333333333333,0.0030429938672437,0.8422349264773575,0.8572317401893091,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,1,1,0.3033666666666667,0.0011678283159428,0.300488957334048,0.3062443759992853,60,0.95,mixture/0.1/2/5/14
0.1,2,15,400,constant,0,0,0.3176666666666665,0.0029000941604299,0.3105203867580447,0.3248129465752883,60,0.95,mixture/0.1/2/5/15
0.1,2,15,400,constant,0,1,0.87275,0.0029887382784672,0.8653852872941294,0.8801147127058706,60,0.95,mixture/0.1/2/5/15
0.1,2,15,400,constant,1,1,0.5139166666666667,0.0030993248459852,0.5062794515791836,0.5215538817541497,60,0.95,mixture/0.1/2/5/15
0.1,2,15,1000,constant,0,0,0.3082333333333332,0.0017015059243347,0.3040405599512194,0.3124261067154469,60,0.95,mixture/0.1/2/5/15
0.1,2,15,1000,constant,0,1,0.8638666666666666,0.0019227256234251,0.8591287737803065,0.8686045595530266,60,0.95,mixture/0.1/2/5/15
