alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
0.1,2,0,400,constant,0.32933333333333326,0.30997042738712033,0.3486962392795462,separated,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0.32993333333333325,0.32000626026279333,0.33986040640387316,separated,60,0.95,mixture/0.1/2/5/0
0.1,2,1,400,constant,1.408666666666667,1.386912955918731,1.4304203774146032,separated,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,1.4230000000000003,1.4117349439012274,1.4342650560987733,separated,60,0.95,mixture/0.1/2/5/1
0.1,2,2,400,constant,1.5562499999999992,1.5335463978730008,1.5789536021269979,separated,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,1.5694000000000004,1.5548176950360668,1.5839823049639339,separated,60,0.95,mixture/0.1/2/5/2
0.1,2,3,400,constant,1.205333333333333,1.121673115419644,1.288993551247022,separated,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,1.3283999999999994,1.2879556929369262,1.3688443070630727,separated,60,0.95,mixture/0.1/2/5/3
0.1,2,4,400,constant,1.8843333333333332,1.8545879548773,1.914078711789366,separated,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,1.937433333333333,1.9220702363189877,1.952796430347678,separated,60,0.95,mixture/0.1/2/5/4
0.1,2,5,400,constant,1.5863333333333336,1.5608053619483422,1.611861304718325,separated,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,1.5976666666666657,1.5813753638286054,1.6139579695047261,separated,60,0.95,mixture/0.1/2/5/5
0.1,2,6,400,constant,1.1530000000000007,1.1343019203317461,1.1716980796682555,separated,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,1.1758666666666668,1.1641183424275485,1.1876149909057854,separated,60,0.95,mixture/0.1/2/5/6
0.1,2,7,400,constant,0.5545,0.4987587439723383,0.6102412560276617,separated,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0.5808999999999999,0.5462876689025693,0.6155123310974304,separated,60,0.95,mixture/0.1/2/5/7
0.1,2,8,400,constant,0.3504999999999999,0.3295964313193236,0.37140356868067625,separated,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,0.36109999999999987,0.3488730751027138,0.3733269248972859,separated,60,0.95,mixture/0.1/2/5/8
0.1,2,9,400,constant,0.9326666666666668,0.8288130756765839,1.0365202576567496,separated,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,1.0573666666666672,0.9998946620367464,1.1148386712965883,separated,60,0.95,mixture/0.1/2/5/9
0.1,2,10,400,constant,1.5525,1.529125125173775,1.575874874826225,separated,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,1.5731666666666664,1.5590613397900126,1.58727199354332,separated,60,0.95,mixture/0.1/2/5/10
0.1,2,11,400,constant,0.28708333333333363,0.2710408341319955,0.3031258325346718,separated,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0.2948000000000002,0.2853804177174288,0.30421958228257157,separated,60,0.95,mixture/0.1/2/5/11
0.1,2,12,400,constant,0.8096666666666665,0.5272958847587079,1.0920374485746251,separated,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,0.9412666666666671,0.7140408312122192,1.168492502121115,separated,60,0.95,mixture/0.1/2/5/12
0.1,2,13,400,constant,0.38983333333333337,0.34028969540262144,0.4393769712640453,separated,60,0.95,mixture/0.1/2/5/13
0.1,2,13,1000,constant,0.43079999999999985,0.4071164841136844,0.4544835158863153,separated,60,0.95,mixture/0.1/2/5/13
0.1,2,14,400,constant,0.5389166666666667,0.5220158142864006,0.5558175190469328,separated,60,0.95,mixture/0.1/2/5/14
0.1,2,14,1000,constant,0.5447333333333331,0.5340634493328571,0.5554032173338092,separated,60,0.95,mixture/0.1/2/5/14
0.1,2,15,400,constant,0.35633333333333306,0.33845107090422943,0.3742155957624367,separated,60,0.95,mixture/0.1/2/5/15
