alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.2,2,5,0,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/0
0.2,2,5,0,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/0
0.2,2,5,0,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/0
0.2,2,5,0,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/0
0.2,2,5,1,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/1
0.2,2,5,1,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/1
0.2,2,5,1,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/1
0.2,2,5,1,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/1
0.2,2,5,2,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/2
0.2,2,5,2,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/2
0.2,2,5,2,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/2
0.2,2,5,2,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/2
0.2,2,5,3,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/3
0.2,2,5,3,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/3
0.2,2,5,3,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/3
0.2,2,5,3,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/3
0.2,2,5,4,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/4
0.2,2,5,4,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/4
0.2,2,5,4,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/4
0.2,2,5,4,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/4
0.2,2,5,5,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/5
0.2,2,5,5,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/5
0.2,2,5,5,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/5
0.2,2,5,5,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/5
0.2,2,5,6,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/6
0.2,2,5,6,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/6
0.2,2,5,6,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/6
0.2,2,5,6,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/6
0.2,2,5,7,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/7
0.2,2,5,7,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/7
0.2,2,5,7,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/7
0.2,2,5,7,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/7
0.2,2,5,8,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/8
0.2,2,5,8,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/8
0.2,2,5,8,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/8
0.2,2,5,8,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/8
0.2,2,5,9,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/9
0.2,2,5,9,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/9
0.2,2,5,10,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/10
0.2,2,5,10,1000,800,constant,complete,0,1,1.0,2,1,1,,,mixture/0.2/2/5/10
0.2,2,5,10,1000,800,constant,average,0,1,1.0,2,1,1,,,mixture/0.2/2/5/10
0.2,2,5,10,1000,800,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.2/2/5/10
0.2,2,5,11,1000,800,constant,single,0,1,1.0,2,1,1,,,mixture/0.2/2/5/11
