alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
0.1,2,0,400,constant,0.3166666666666664,0.2997760294444063,0.3335573038889265,separated,60,0.95,mixture/0.1/2/5/0
0.1,2,0,1000,constant,0.3321,0.3226199913353798,0.3415800086646203,separated,60,0.95,mixture/0.1/2/5/0
0.1,2,1,400,constant,1.397416666666667,1.3787374274598692,1.4160959058734646,separated,60,0.95,mixture/0.1/2/5/1
0.1,2,1,1000,constant,1.4193999999999996,1.4065044541466556,1.4322955458533435,separated,60,0.95,mixture/0.1/2/5/1
0.1,2,2,400,constant,1.5457500000000004,1.521248519904457,1.5702514800955436,separated,60,0.95,mixture/0.1/2/5/2
0.1,2,2,1000,constant,1.5602000000000005,1.5445607981943033,1.5758392018056977,separated,60,0.95,mixture/0.1/2/5/2
0.1,2,3,400,constant,1.1827500000000004,1.1010379896481224,1.2644620103518784,separated,60,0.95,mixture/0.1/2/5/3
0.1,2,3,1000,constant,1.2991666666666664,1.2588239703754152,1.3395093629579176,separated,60,0.95,mixture/0.1/2/5/3
0.1,2,4,400,constant,1.887666666666666,1.8589733350406248,1.916359998292707,separated,60,0.95,mixture/0.1/2/5/4
0.1,2,4,1000,constant,1.943133333333332,1.930295455051784,1.95597121161488,separated,60,0.95,mixture/0.1/2/5/4
0.1,2,5,400,constant,1.569916666666666,1.5440062925856357,1.5958270407476964,separated,60,0.95,mixture/0.1/2/5/5
0.1,2,5,1000,constant,1.5933666666666666,1.5772383023526144,1.6094950309807188,separated,60,0.95,mixture/0.1/2/5/5
0.1,2,6,400,constant,1.1690833333333337,1.149785687312706,1.188380979353961,separated,60,0.95,mixture/0.1/2/5/6
0.1,2,6,1000,constant,1.1854,1.1739864785432113,1.196813521456789,separated,60,0.95,mixture/0.1/2/5/6
0.1,2,7,400,constant,0.5561666666666667,0.4967136306213453,0.6156197027119881,separated,60,0.95,mixture/0.1/2/5/7
0.1,2,7,1000,constant,0.5876333333333332,0.5538734168382611,0.6213932498284054,separated,60,0.95,mixture/0.1/2/5/7
0.1,2,8,400,constant,0.3499166666666667,0.3280929281040001,0.3717404052293334,separated,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,0.3682333333333334,0.3563372690858207,0.3801293975808461,separated,60,0.95,mixture/0.1/2/5/8
0.1,2,9,400,constant,0.8903333333333336,0.7766879467968453,1.003978719869822,separated,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,1.0330333333333337,0.9704580883008972,1.09560857836577,separated,60,0.95,mixture/0.1/2/5/9
0.1,2,10,400,constant,1.5578333333333334,1.532886404612889,1.582780262053778,separated,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,1.5683666666666671,1.5531746601197691,1.5835586732135654,separated,60,0.95,mixture/0.1/2/5/10
0.1,2,11,400,constant,0.2957499999999999,0.2812288061482986,0.3102711938517011,separated,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0.2992666666666668,0.2901064222117862,0.3084269111215474,separated,60,0.95,mixture/0.1/2/5/11
0.1,2,12,400,constant,0.6354166666666667,0.3306932099217909,0.9401401234115426,separated,60,0.95,mixture/0.1/2/5/12
