alpha,K,d,mixture_id,n,N,cost_scheme,algorithm,dataset_id,exact_recovery,ari,k_hat,k_correct,exact_recovery_at_k_hat,pam_one_swap_certified,pam_hit_cap,mixture_key
0.1,2,5,6,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/6
0.1,2,5,6,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/6
0.1,2,5,6,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/6
0.1,2,5,7,400,200,constant,single,0,1,1.0,3,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,400,200,constant,complete,0,1,1.0,3,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,400,200,constant,average,0,1,1.0,3,0,0,,,mixture/0.1/2/5/7
0.1,2,5,7,400,200,constant,pam,0,1,1.0,3,0,0,1,0,mixture/0.1/2/5/7
0.1,2,5,7,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/7
0.1,2,5,7,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/7
0.1,2,5,7,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/7
0.1,2,5,7,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/7
0.1,2,5,8,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/8
0.1,2,5,8,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/8
0.1,2,5,8,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/8
0.1,2,5,9,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/9
0.1,2,5,9,400,200,constant,complete,0,0,0.2087727023284086,2,1,0,,,mixture/0.1/2/5/9
0.1,2,5,9,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/9
0.1,2,5,9,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/9
0.1,2,5,9,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/9
0.1,2,5,9,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/9
0.1,2,5,9,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/9
0.1,2,5,9,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/9
0.1,2,5,10,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/10
0.1,2,5,10,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/10
0.1,2,5,10,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/10
0.1,2,5,10,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/10
0.1,2,5,10,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/10
0.1,2,5,10,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/10
0.1,2,5,10,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/10
0.1,2,5,10,1000,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/10
0.1,2,5,11,400,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/11
0.1,2,5,11,400,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/11
0.1,2,5,11,400,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/11
0.1,2,5,11,400,200,constant,pam,0,1,1.0,2,1,1,1,0,mixture/0.1/2/5/11
0.1,2,5,11,1000,200,constant,single,0,1,1.0,2,1,1,,,mixture/0.1/2/5/11
0.1,2,5,11,1000,200,constant,complete,0,1,1.0,2,1,1,,,mixture/0.1/2/5/11
0.1,2,5,11,1000,200,constant,average,0,1,1.0,2,1,1,,,mixture/0.1/2/5/11
