alpha,K,mixture_id,n,cost_scheme,eta_hat,eta_ci_low,eta_ci_high,separation_status,n_pairs,level,mixture_key
0.3,4,2,800,constant,0.21304166666666624,0.19113995675206452,0.23494337658126796,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,900,constant,0.21955555555555561,0.19869451042348774,0.2404166006876235,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,2,1000,constant,0.22523333333333317,0.20570570425518653,0.24476096241147982,separated,60,0.95,mixture/0.3/4/5/2
0.3,4,3,100,constant,0.43433333333333346,0.3817733762019616,0.4868932904647054,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,200,constant,0.4341666666666667,0.398618859595934,0.4697144737373994,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,300,constant,0.4357777777777778,0.4080024181968621,0.4635531373586934,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,400,constant,0.43608333333333305,0.41189722357685843,0.46026944308980766,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,500,constant,0.43786666666666685,0.41559538790759576,0.46013794542573794,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,600,constant,0.4340000000000003,0.4139353775868727,0.45406462241312784,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,700,constant,0.436095238095238,0.416101023008008,0.45608945318246796,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,800,constant,0.43766666666666665,0.4198228413491857,0.4555104919841476,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,900,constant,0.43848148148148136,0.4211098267793474,0.45585313618361534,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,3,1000,constant,0.44230000000000036,0.42611730146750426,0.45848269853249646,separated,60,0.95,mixture/0.3/4/5/3
0.3,4,4,100,constant,0.10633333333333339,0.050189898544508726,0.16247676812215806,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,200,constant,0.12316666666666665,0.08825512588423323,0.15807820744910006,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,300,constant,0.12577777777777754,0.09747165336899066,0.15408390218656443,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,400,constant,0.13408333333333355,0.11179129973163271,0.15563122043388988,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,500,constant,0.13713333333333377,0.11792905327535597,0.1550274682392504,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,600,constant,0.13844444444444437,0.12097371530308165,0.15488694769530464,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,700,constant,0.1378095238095236,0.12217042674086753,0.15344862087817968,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,800,constant,0.14079166666666654,0.12488475747021832,0.15669857586311475,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,900,constant,0.14229629629629648,0.12833998463419438,0.15625260795839857,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,4,1000,constant,0.14293333333333336,0.12994781807998534,0.15591884858668137,separated,60,0.95,mixture/0.3/4/5/4
0.3,4,5,100,constant,0.37800000000000034,0.17535730081283218,0.5529276914588054,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,200,constant,0.5218333333333334,0.4794544287289453,0.5484685254654733,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,300,constant,0.523,0.5037637063656515,0.5422362936343486,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,400,constant,0.5324999999999999,0.5161410137875553,0.5488589862124444,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,500,constant,0.5315333333333333,0.5159615523370438,0.5471051143296228,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,600,constant,0.5338333333333337,0.519553286046315,0.5481133806203524,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,700,constant,0.5353333333333331,0.5217625311636938,0.5489041355029725,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,800,constant,0.5346250000000001,0.5225160371458158,0.5467339628541844,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,900,constant,0.5357407407407412,0.5238042756554109,0.5476772058260715,separated,60,0.95,mixture/0.3/4/5/5
0.3,4,5,1000,constant,0.5351666666666668,0.5238404474125433,0.5464928859207903,separated,60,0.95,mixture/0.3/4/5/5
