alpha,K,mixture_id,n,cost_scheme,k,l,gamma_hat,se,ci_low,ci_high,n_pairs,level,mixture_key
0.1,2,8,1000,constant,0,1,0.8729,0.003129746113419313,0.8651878222112278,0.8806121777887722,60,0.95,mixture/0.1/2/5/8
0.1,2,8,1000,constant,1,1,0.5046666666666666,0.0016978994444726383,0.5004827802079261,0.5088505531254071,60,0.95,mixture/0.1/2/5/8
0.1,2,9,400,constant,0,0,0.7851666666666668,0.04019654513829035,0.6861161713975095,0.8842171619358241,60,0.95,mixture/0.1/2/5/9
0.1,2,9,400,constant,0,1,1.6755000000000004,0.0059228800827449,1.6609051087326694,1.6900948912673315,60,0.95,mixture/0.1/2/5/9
0.1,2,9,400,constant,1,1,0.5795833333333335,0.0029503702407390813,0.5723131653980744,0.5868535012685925,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,0,0,0.6415333333333333,0.021328338045109804,0.5889770143917898,0.6940896522748767,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,0,1,1.6745666666666668,0.004065867755182963,1.6645477405757738,1.6845855927575597,60,0.95,mixture/0.1/2/5/9
0.1,2,9,1000,constant,1,1,0.5684333333333333,0.0016268173959989043,0.56442460402011,0.5724420626465567,60,0.95,mixture/0.1/2/5/9
0.1,2,10,400,constant,0,0,0.20483333333333334,0.00270479451548507,0.1981683019123894,0.21149836475427727,60,0.95,mixture/0.1/2/5/10
0.1,2,10,400,constant,0,1,1.7745833333333334,0.0054361882035629935,1.7611877260221382,1.7879789406445286,60,0.95,mixture/0.1/2/5/10
0.1,2,10,400,constant,1,1,0.21675000000000005,0.004687742460772676,0.2051986785907507,0.2283013214092494,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,0,0,0.19553333333333345,0.0018880334830571753,0.19088092723877526,0.20018573942789164,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,0,1,1.7683666666666673,0.0035115601395869604,1.759713640149167,1.7770196931841675,60,0.95,mixture/0.1/2/5/10
0.1,2,10,1000,constant,1,1,0.2000000000000001,0.0026536405011991586,0.1934610199706022,0.206538980029398,60,0.95,mixture/0.1/2/5/10
0.1,2,11,400,constant,0,0,0.1328333333333334,0.0055366864117308975,0.11919008291603436,0.1464765837506324,60,0.95,mixture/0.1/2/5/11
0.1,2,11,400,constant,0,1,0.7016666666666664,0.0033205971373232316,0.6934842024795166,0.7098491308538163,60,0.95,mixture/0.1/2/5/11
0.1,2,11,400,constant,1,1,0.40591666666666654,0.0025723751545934865,0.39957793700211514,0.41225539633121794,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0,0,0.11893333333333334,0.0023484418042015185,0.11314641002893794,0.12472025663772873,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,0,1,0.6946333333333334,0.0021091630421164087,0.6894360298534872,0.6998306368131797,60,0.95,mixture/0.1/2/5/11
0.1,2,11,1000,constant,1,1,0.39536666666666664,0.0016082356312351706,0.3914037256916323,0.399329607641701,60,0.95,mixture/0.1/2/5/11
0.1,2,12,400,constant,0,0,0.6516666666666666,0.06858555491318509,0.48266126684712607,0.8206720664862072,60,0.95,mixture/0.1/2/5/12
0.1,2,12,400,constant,0,1,1.71,0.016412755133537037,1.6695564365266893,1.7504435634733106,60,0.95,mixture/0.1/2/5/12
0.1,2,12,400,constant,1,1,1.0745833333333332,0.10724972782989098,0.810303440061768,1.3388632266048983,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,0,0,0.4874999999999999,0.039686444055973435,0.3897064725788752,0.5852935274211246,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,0,1,1.6762666666666668,0.010157679643692229,1.6512365752488165,1.701296758084517,60,0.95,mixture/0.1/2/5/12
0.1,2,12,1000,constant,1,1,0.9784666666666665,0.08854065256315233,0.7602888243256709,1.196644509007662,60,0.95,mixture/0.1/2/5/12
0.1,2,13,400,constant,0,0,0.6320833333333334,0.013810302624082438,0.5980526147721689,0.666114051894498,60,0.95,mixture/0.1/2/5/13
0.1,2,13,400,constant,0,1,1.02125,0.0036235751144649254,1.012320951284546,1.030179048715454,60,0.95,mixture/0.1/2/5/13
0.1,2,13,400,constant,1,1,0.26541666666666663,0.002945579055104136,0.2581583049527741,0.2726750283805592,60,0.95,mixture/0.1/2/5/13
0.1,2,13,1000,constant,0,0,0.6061666666666666,0.007589063148550881,0.5874660429959815,0.6248672903373518,60,0.95,mixture/0.1/2/5/13
0.1,2,13,1000,constant,0,1,1.0181000000000002,0.0025291185575148727,1.0118678612713006,1.0243321387286999,60,0.95,mixture/0.1/2/5/13
