alpha,K,mixture_id,dataset_id,n,N,d,cost_scheme,rule,threshold,k_hat,k_correct,exact_recovery,mixture_key
0.3,2,10,0,1000,200,5,constant,geomean,0.08772684879784527,2,1,1,mixture/0.3/2/5/10
0.3,2,10,0,1000,200,5,constant,ratio,0.03600000000000003,2,1,1,mixture/0.3/2/5/10
0.3,2,10,0,1000,200,5,constant,ratio-half,0.03600000000000003,2,1,1,mixture/0.3/2/5/10
0.3,2,10,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/10
0.3,2,10,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/10
0.3,2,11,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.3/2/5/11
0.3,2,11,0,1000,200,5,constant,geomean,0.1757498221905218,2,1,1,mixture/0.3/2/5/11
0.3,2,11,0,1000,200,5,constant,ratio,0.04600000000000004,2,1,1,mixture/0.3/2/5/11
0.3,2,11,0,1000,200,5,constant,ratio-half,0.04600000000000004,2,1,1,mixture/0.3/2/5/11
0.3,2,11,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/11
0.3,2,11,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/11
0.3,2,12,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.3/2/5/12
0.3,2,12,0,1000,200,5,constant,geomean,0.15491933384829645,2,1,1,mixture/0.3/2/5/12
0.3,2,12,0,1000,200,5,constant,ratio,0.04800000000000004,2,1,1,mixture/0.3/2/5/12
0.3,2,12,0,1000,200,5,constant,ratio-half,0.04800000000000004,2,1,1,mixture/0.3/2/5/12
0.3,2,12,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/12
0.3,2,12,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/12
0.3,2,13,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.3/2/5/13
0.3,2,13,0,1000,200,5,constant,geomean,0.12322337440599496,2,1,1,mixture/0.3/2/5/13
0.3,2,13,0,1000,200,5,constant,ratio,0.04399999999999993,2,1,1,mixture/0.3/2/5/13
0.3,2,13,0,1000,200,5,constant,ratio-half,0.04399999999999993,2,1,1,mixture/0.3/2/5/13
0.3,2,13,0,1000,200,5,constant,asw-pam,,2,1,1,mixture/0.3/2/5/13
0.3,2,13,0,1000,200,5,constant,asw-average,,2,1,1,mixture/0.3/2/5/13
0.3,2,14,0,1000,200,5,constant,stated,0.5395907397331495,2,1,1,mixture/0.3/2/5/14
